"id" "start" "end" "sex" "cod" "dx_fu" "dx_event" "rate" "rate0" "rate_DK_std" "HR" "CI_left" "CI_right"
1 "A00" "B99" "All" "All" 93883288.8240512 861689 0.0328827958478628 0.00829228513137218 0.0126329665138221 3.28505892425711 3.26997034449901 3.30021712704391
1 "A00" "B99" "All" "Natural" 93883288.8240512 861689 0.0318862812578986 0.00790082036207892 0.01216072740714 3.32425529852538 3.3087157696048 3.33986780952598
1 "A00" "B99" "All" "External" 93883288.8240512 861689 0.000996514589964204 0.000391464769293263 0.000472239563643081 2.41945803836691 2.35937599990273 2.48107007940217
1 "A00" "B99" "All" "Air_not_adjust" NA NA 0.0330385289271066 0.00842493936391726 0.012705612627048 3.28179069087496 3.26670602627548 3.29694501191254
1 "A00" "B99" "All" "Air_adjusted" NA NA 0.0330385289271066 0.00842493936391726 0.012705612627048 3.27781609344969 3.26268820300559 3.29301412638214
1 "A00" "B99" "Males" "All" 46447309.3846995 432407 0.0337975886367645 0.0081766200245198 0.0121742664583629 3.58396114349698 3.56066812185176 3.60740654240366
1 "A00" "B99" "Males" "Natural" 46447309.3846995 432407 0.0326412796468088 0.00769570949825026 0.0116449406843399 3.64133158080641 3.61716942676103 3.66565513444888
1 "A00" "B99" "Males" "External" 46447309.3846995 432407 0.00115630898995569 0.000480910526269541 0.000529326672363727 2.51959249087107 2.43756971628014 2.60437528315778
1 "A00" "B99" "Females" "All" 47435979.4393517 429282 0.0319979962844734 0.00840553952321742 0.0130766272135138 3.02814678672299 3.00852105244009 3.04790054718202
1 "A00" "B99" "Females" "Natural" 47435979.4393517 429282 0.0311560369304707 0.00810165626476315 0.0126596030789559 3.05295545496327 3.03287859253048 3.07316522097028
1 "A00" "B99" "Females" "External" 47435979.4393517 429282 0.00084195935400275 0.000303883258454271 0.000417024243848445 2.33439576733787 2.24589717416227 2.42638160876515
1001 "A00" "A09" "All" "All" 99119073.0140654 243657 0.0243536851712109 0.00980999892787554 0.0116002453924748 2.1911485134475 2.17322545728875 2.20921938489206
1001 "A00" "A09" "All" "Natural" 99119073.0140654 243657 0.0235496969213529 0.00938163535758696 0.0111661894919384 2.20115519276767 2.18284036863936 2.21962368492762
1001 "A00" "A09" "All" "External" 99119073.0140654 243657 0.000803988249857951 0.000428363570288585 0.000434056490780521 1.93100107110688 1.84635655728095 2.01952603461765
1001 "A00" "A09" "All" "Air_not_adjust" NA NA 0.0244654192726594 0.00996528340552129 0.0116600226704116 2.19011540034591 2.17219199283661 2.20818669926528
1001 "A00" "A09" "All" "Air_adjusted" NA NA 0.0244654192726594 0.00996528340552129 0.0116600226704116 2.17680298155443 2.15895082461798 2.19480275626136
1001 "A00" "A09" "Males" "All" 49068922.5432218 114137 0.0215021456371575 0.00984682310018938 0.00933004280094284 2.3953425093835 2.36531495727041 2.42575125973116
1001 "A00" "A09" "Males" "Natural" 49068922.5432218 114137 0.0206781143008172 0.00932168420036328 0.00889746918360317 2.41663853682493 2.38573684756619 2.44794048581895
1001 "A00" "A09" "Males" "External" 49068922.5432218 114137 0.000824031336340272 0.000525138899826108 0.000432574860846013 1.96515688382338 1.84349588539118 2.09484686602323
1001 "A00" "A09" "Females" "All" 50050150.4708436 129520 0.0269134570640377 0.00977389668958081 0.013638162354673 2.05498825097346 2.03289743825209 2.0773191171267
1001 "A00" "A09" "Females" "Natural" 50050150.4708436 129520 0.0261274611052949 0.00944041117868863 0.0132027758371774 2.06107444503521 2.03858526092964 2.0838117244309
1001 "A00" "A09" "Females" "External" 50050150.4708436 129520 0.000785995958742837 0.000333485510892185 0.000435386517495596 1.87310080849714 1.75888735457635 1.99473071977238
1002 "A15" "A19" "All" "All" 101551922.694438 8913 0.033806486542189 0.0101482273565702 0.0112609371303797 3.01641180980044 2.92060234061048 3.11536427941152
1002 "A15" "A19" "All" "Natural" 101551922.694438 8913 0.0323541138428623 0.00971156403377494 0.0107619691146567 3.02127441889563 2.92321535049274 3.12262287235679
1002 "A15" "A19" "All" "External" 101551922.694438 8913 0.00145237269932668 0.000436663322795252 0.000498968015722913 2.9200549467778 2.49893809343536 3.41213770545215
1002 "A15" "A19" "All" "Air_not_adjust" NA NA 0.0338767566620208 0.0103071423953876 0.011301220938038 3.01195455601307 2.91618479257386 3.11086947253468
1002 "A15" "A19" "All" "Air_adjusted" NA NA 0.0338767566620208 0.0103071423953876 0.011301220938038 2.9701903891995 2.87537837142271 3.06812871508386
1002 "A15" "A19" "Males" "All" 50214538.9164458 4914 0.0395384529767636 0.0100922563650988 0.0117609307741865 3.38118780356979 3.24413266474092 3.52403312209246
1002 "A15" "A19" "Males" "Natural" 50214538.9164458 4914 0.037521184967745 0.00956165306623478 0.0111344978226306 3.38887739397927 3.24794282908403 3.53592738412288
1002 "A15" "A19" "Males" "External" 50214538.9164458 4914 0.00201726800901855 0.000530603298863983 0.00062643295155589 3.24906848960596 2.70519957785462 3.90227994140167
1002 "A15" "A19" "Females" "All" 51337383.7779924 3999 0.0275785898190674 0.01020297415749 0.0107176839883055 2.58973942645654 2.45950012375069 2.72687536470451
1002 "A15" "A19" "Females" "Natural" 51337383.7779924 3999 0.0267399872260895 0.00985819616731142 0.0103572091869529 2.59835185700107 2.46569855569928 2.73814183699603
1002 "A15" "A19" "Females" "External" 51337383.7779924 3999 0.000838602592977862 0.000344777990178529 0.000360474801352581 2.34402565024411 1.74367751166452 3.1510736430599
1003 "A20" "A28" "All" "All" 101627160.33251 5670 0.0367131707564319 0.0101647630084331 0.0167869971909127 2.22498189488292 2.10517844338047 2.35160323255414
