"life_exp" "life_exp0" "LYL_Natural" "LYL_External" "sex" "id" "start" "end" "LYL_Total" "life_exp_L" "life_exp_R" "LYL_Natural_L" "LYL_Natural_R" "LYL_External_L" "LYL_External_R" "LYL_Total_L" "LYL_Total_R" "boot_iterations"
32.0122418124325 42.4820032263652 9.94160937150811 0.528152042372485 "All" 1 "A00" "B99" 10.4697614138806 31.9268502464592 32.0928124731318 9.85880354608354 10.0134186295786 0.477644130859181 0.57506520110927 10.3936377489594 10.5316476679819 100
30.9636750837311 41.5058998093924 9.79115905632857 0.751065669259054 "Males" 1 "A00" "B99" 10.5422247255876 30.8618116139316 31.0688817209538 9.68164305133692 9.8919057386873 0.676116633886885 0.819101593483725 10.4521881391482 10.6354822423859 100
33.0585075870081 43.4559647012726 10.0917295414866 0.305727572747397 "Females" 1 "A00" "B99" 10.397457114234 32.9545463127247 33.1628327316802 9.96967959538041 10.202354540618 0.250761961485007 0.364840030647276 10.2828643908128 10.4775506901396 100
39.5426287349568 48.6980849683749 8.4921999227065 0.663256310644832 "All" 1001 "A00" "A09" 9.15545623335133 39.3504977814007 39.7611697626984 8.31629391193449 8.70354217136553 0.577096123469997 0.743824716697743 8.997084395866 9.347505297113 100
40.5771098490097 50.3607685264507 8.94320271764931 0.840455959718675 "Males" 1001 "A00" "A09" 9.78365867736798 40.1837280607714 40.8643313833513 8.66502566395286 9.30431121040733 0.645539045125336 0.994131941088338 9.50918922712585 10.1686809740114 100
38.6330211502913 47.2361060547151 8.09563824805383 0.507446656308879 "Females" 1001 "A00" "A09" 8.60308490436271 38.4568283997841 38.8664139055484 7.94890957851965 8.27189204627264 0.394121421405805 0.593694409656526 8.43755365503844 8.74759999559992 100
25.5332016171119 37.8253306367091 11.4235754428523 0.868553576715064 "All" 1002 "A15" "A19" 12.2921290195674 25.0488802522585 26.0214804416549 10.9437743275353 11.8307621624798 0.592833117461905 1.19092715779693 11.8484350747807 12.7281658990267 100
22.4252972559016 35.8106853036779 12.0723690729581 1.31301897475659 "Males" 1002 "A15" "A19" 13.3853880477147 21.9213446380887 23.0044365025298 11.4489513986819 12.7084980334775 0.895380736564751 1.83251970889574 12.8930778876925 13.8007008683053 100
29.2481314709056 40.2334697628336 10.6480616093145 0.33727668262179 "Females" 1002 "A15" "A19" 10.9853382919363 28.5654499453295 30.0256297326975 9.94315632899595 11.3537619222529 -0.0199277572456334 0.750989998316929 10.3612168511987 11.6299595020748 100
22.4142547509687 28.9743942546736 NA NA "All" 1003 "A20" "A28" 6.56013950369523 21.6687641546196 23.1576714892097 NA NA NA NA 6.05828737205222 7.20496652168728 100
22.0534191462528 28.6903692831855 NA NA "Males" 1003 "A20" "A28" 6.63695013691121 21.2551291955562 23.1447694996057 NA NA NA NA 5.8750796480141 7.53932151252362 100
22.8610223942986 29.3260590169648 NA NA "Females" 1003 "A20" "A28" 6.46503662267108 21.6721010306208 23.6396295538951 NA NA NA NA 5.69089241112251 7.38667910588486 100
12.1360454983442 23.1990427048084 10.788475185195 0.274522021240895 "All" 1004 "A30" "A49" 11.0629972064359 12.0731727081189 12.2112845053178 10.6995420082103 10.842638397631 0.226779082816312 0.31158928908259 10.9955871259407 11.1060576879297 100
12.2037289958408 22.7529538223874 10.2079045419988 0.34132028451694 "Males" 1004 "A30" "A49" 10.5492248265157 12.1434661450284 12.3215975159279 10.1092840260036 10.2957643817429 0.263876126598501 0.400293662120409 10.4550891973114 10.6206266740172 100
12.054757577234 23.7347957202937 11.4857408760735 0.194297266960784 "Females" 1004 "A30" "A49" 11.6800381430343 11.9315874988874 12.1569648534219 11.394489069509 11.581086701618 0.139455396110999 0.247455543985849 11.5849845835345 11.7406030101177 100
45.72643844736 50.2496140667067 4.1818935077903 0.341282111610758 "All" 1005 "A50" "A64" 4.52317561940106 45.4202180240247 46.161232851751 3.72727937408405 4.5357037656119 0.145434831390172 0.689237669802165 4.08404110805548 4.83012480168328 100
41.7344349698192 45.7728629093734 3.64273992456241 0.395688014951502 "Males" 1005 "A50" "A64" 4.03842793951391 41.1809111434662 42.3854688337161 2.82404432945467 4.18771214469622 0.041823176848127 0.865608016644117 3.45914822607169 4.62220554289177 100
48.5474829863801 53.4132171236679 4.56289925596044 0.30283488144842 "Females" 1005 "A50" "A64" 4.86573413740886 48.1093114009501 49.1168373350681 3.95625927819141 5.11580965245505 0.0494529035774675 0.657817199261505 4.28983574418691 5.26357600323963 100
43.0330240805272 42.5620122098469 -0.52205005794385 0.0510381872327306 "All" 1006 "A65" "A69" -0.471011870711119 42.4495713534502 43.624094702154 -1.003276673242 0.0264188171390593 -0.182482611209258 0.339214763555151 -0.922644452635221 0.0697604797685242 100
41.7691097680959 41.6764292408922 -0.0745924357482797 -0.0180880914970542 "Males" 1006 "A65" "A69" -0.0926805272453339 41.0326622939655 42.4316884230492 -0.757668519553147 0.541160856468689 -0.399775324715759 0.307383890292829 -0.603471689367586 0.459017791377633 100
44.3944871924669 43.5159443972865 -1.00404242149547 0.125499626295969 "Females" 1006 "A65" "A69" -0.878542795199501 43.6243885333806 45.3708931460089 -1.91844453126992 -0.314552553979688 -0.142512452832488 0.545525199424533 -1.72084251719939 -0.298190792610148 100
31.5506469419055 34.819213245866 NA NA "Males" 1008 "A75" "A79" 3.26856630387879 29.8392310926705 33.8240600718997 NA NA NA NA 1.53527388387223 4.62895897398935 100
