"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
30.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998560280535936
30.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000589441842552028
30.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000850277621510629
31 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998525701956444
31 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000606738046506521
31 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000867559997048626
31.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998460016731696
31.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000628618852955516
31.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000911364415347391
31.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998393309216227
31.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00065010113307492
31.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000956589650696516
31.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998341855910538
31.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000659462529770534
31.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00099868155969018
32 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998275203683663
32 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000675491751950869
32 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00104930456438462
32.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998202808755146
32.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000702644161270619
32.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00109454708358166
32.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998109222862791
32.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000731590181385455
32.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00115918695582215
32.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.998025603037764
32.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000762355569996396
32.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00121204139223738
33 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997960597182952
33 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000773188949348139
33 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00126621386769879
33.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997922146382395
33.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000783856564815397
33.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00129399705278797
33.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997841795972179
33.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000809274384796287
33.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0013489296430234
33.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997751908629043
33.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000840629259206248
33.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00140746211175
34 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997691900570464
34 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000861366158439036
34 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00144673327109637
34.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997648889619541
34.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000877746150020652
34.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00147336423043681
34.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997565637974171
34.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00089804755090197
34.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0015363144749257
34.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997501183797796
34.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000920203175658942
34.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00157861302654361
35 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997407128342692
