"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
1006 "A65" "A69" "All" "All" 4 13668 34267.3898645108 304 0.921157126703028 0.823200672979941 1.03076987170594
1006 "A65" "A69" "All" "All" 5 10730 44650.928864436 417 0.810693154374682 0.736483996779216 0.892379730481769
1006 "A65" "A69" "All" "All" 6 7199 45623.4352271877 623 0.977533884271443 0.903668029014713 1.05743753703525
1007 "A70" "A74" "All" "All" 0 7378348 101645722.819088 1034176 1 NA NA
1007 "A70" "A74" "All" "All" 1 1818 872.650699902687 14 6.61932314273466 3.92024803617492 11.1767006739437
1007 "A70" "A74" "All" "All" 2 1734 837.178344187441 NA NA NA NA
1007 "A70" "A74" "All" "All" 3 1679 1571.89714799012 6 1.50525813993084 0.676248400394379 3.35054702755183
1007 "A70" "A74" "All" "All" 4 1652 4141.89047832922 14 1.28563856780741 0.761415561360308 2.17078112257248
1007 "A70" "A74" "All" "All" 5 1280 4511.22917883075 23 1.42490123759837 0.946876209072685 2.14425446267973
1007 "A70" "A74" "All" "All" 6 561 3741.0614267535 38 1.59760332523642 1.1624666385624 2.1956211904394
1008 "A75" "A79" "All" "All" 0 7378547 101651963.213646 1034073 1 NA NA
1008 "A75" "A79" "All" "All" 1 1524 738.621094393293 63 7.86638198516863 6.14507022890582 10.0698548969397
1008 "A75" "A79" "All" "All" 2 1447 696.70467100831 30 4.24561320622247 2.96843643150302 6.07229830005958
1008 "A75" "A79" "All" "All" 3 1372 1310.61905082716 36 2.78858186284628 2.01145908906033 3.86594430286322
1008 "A75" "A79" "All" "All" 4 1273 3119.53771988921 40 1.25505389846621 0.92059692962445 1.71102057520202
1008 "A75" "A79" "All" "All" 5 727 2304.80369788158 19 0.715635375800268 0.456465948500085 1.12195442569074
1008 "A75" "A79" "All" "All" 6 279 1265.22648401826 12 0.514360288096709 0.292107701676317 0.9057156126068
1009 "A80" "A89" "All" "All" 0 7375221 101507205.227352 1031483 1 NA NA
1009 "A80" "A89" "All" "All" 1 11535 5427.57124036231 555 8.81273566212047 8.1090108087195 9.57753191880057
1009 "A80" "A89" "All" "All" 2 11044 5355.14326671158 126 2.05711500808483 1.72751625904745 2.44959903232473
1009 "A80" "A89" "All" "All" 3 11346 10669.1545549817 187 1.4952531730118 1.29557470727129 1.72570677619263
1009 "A80" "A89" "All" "All" 4 12772 32808.9216782693 497 1.24832907860999 1.14324017992819 1.36307795672572
1009 "A80" "A89" "All" "All" 5 11034 46766.3154053447 658 1.07081509716134 0.992018762570493 1.15587024718917
1009 "A80" "A89" "All" "All" 6 7773 53166.3928662325 767 1.00238061131094 0.933848599923828 1.07594195677334
1010 "A90" "A99" "All" "All" 0 7378523 101656725.744726 1034159 1 NA NA
1010 "A90" "A99" "All" "All" 1 713 316.359068792573 59 16.1910749801636 12.5442580294895 20.8980800934584
1010 "A90" "A99" "All" "All" 2 619 298.108391346658 NA NA NA NA
1010 "A90" "A99" "All" "All" 3 598 536.540736582081 12 1.92983574488955 1.09596249443863 3.39816920848283
